,from_id,fromChain,to_id,toChain,kint,ksm,kbtc,timestamp,label_from_id,label_to_id
1493,a3dV3XyhVP3f1B1dwCvW7V8k87M2maqRxLpk8bb5f4TbPVSFD,2092,0x7da0419a1c47750f19440019cda780998b32268f,2023,2798.681,0.0,1.05345145,2022-05-05T13:29:30.149000Z,Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink,Top KINT Sink/Top KBTC Sink
1494,a3dV3XyhVP3f1B1dwCvW7V8k87M2maqRxLpk8bb5f4TbPVSFD,2092,a3bG53CLwxMxN4vse8MB9dAXDy7zBV8JYLdqj3r8epuTMDHe3,2092,16213.359,0.0,0.0,2022-03-10T09:03:55.822000Z,Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink,Top KINT Sink
1495,a3dV3XyhVP3f1B1dwCvW7V8k87M2maqRxLpk8bb5f4TbPVSFD,2092,a3c4h6fAcby5ivMMZmbNjkkGFr8XqnH7xSQJuEkD953Fgssr4,2092,0.1,0.0,0.0,2022-03-10T09:05:42.505000Z,Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink,
1496,a3dV3XyhVP3f1B1dwCvW7V8k87M2maqRxLpk8bb5f4TbPVSFD,2092,a3dV3XyhVP3f1B1dwCvW7V8k87M2maqRxLpk8bb5f4TbPVSFD,2000,0.0,0.0,0.27474638,2022-05-05T13:54:54.204000Z,Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink,Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink
1497,a3dV51iVkY5ihpE1evSMptosU9JhQyKZPScA4b8Zfss3vxxwr,2092,a3enoirArvhLbPxAFFoS5ui2oftXir3BhD8uri1ErxFUKy4rW,2092,100.0,0.0,0.0,2022-05-12T07:12:54.378000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
1498,a3dVEj3hqdRG5h9GVmGmU2DWNsa7oa2CDjC9UgURspDRwmMJC,2092,a3dovojFmDCbj4pFHvZ5G2Y8THgDB2LwPfgsNbEKJGCvsAAji,2092,16.119350697454,0.0,0.0,2022-04-25T14:59:42.615000Z,,
1499,a3dVFfHeX9yrKUcHByWi4ANsABXGLFTR67LSCq7QFYSHDVETt,2092,a3c5e7w6bvLhjdGgtGnGWC4d7Mok1j9YJN8rd4YNUVepwyRNv,2092,4.999870299453,0.0,0.0,2022-04-09T21:42:18.459000Z,,
1500,a3dWcYs7dm73E4EBDMbLcSF631SZ9tieYWqQAJXLTpV2HmW5N,2092,a3cJXeVdQJF67wQWbaXVBAUceZKhu9HyhJbjpDYo34hoSvqbh,2092,1.75,0.0,0.0,2022-05-12T18:20:54.271000Z,,
1501,a3dWmaRhg83vBzdeQN6sJJSpqmnWhJHjgPpN55cHJJiuRncRj,2092,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,2092,0.146980627373,0.0,0.0,2022-02-21T15:38:00.436000Z,,shenanigans/Top KINT Mover/Top KINT Sink
1502,a3dX5Gwc3yHo4nu4BhmKhTmJM3pJPDQT3wQNqGz81SkzwFjg1,2092,a3dYzadG8C3ZxWt6vfemGtki53EPHWdrgJb24fbaQfsSj2LQJ,2092,0.14,0.0,0.0,2022-04-01T10:36:30.357000Z,,
1503,a3dX9Qk4HsCENZTn3Lhg1zuerc7b8ZZVo8q11dQmVLhys2DYm,2092,0x725f5b2e92164c38ef25a70f0807b71a7f0e770a,2023,434.26,0.0,0.0,2022-05-06T03:50:24.241000Z,Top KINT Mover/Top KINT Sink,Top KINT Sink
